State,City,Pages,Names,,,,Row Labels,Sum of Names
CA,Arcadia,1,1,,,,,
CA,Arcata,1,2,,,,,
CA,Arleta,1,2,,,,,
CA,Arnold,1,1,,,,,
CA,Aromas,1,2,,,,,
CA,Arroyo Grande,1,5,,,,,
CA,Artesia,1,2,,,,,
CA,Atascadero,1,4,,,,,
CA,Auberry,1,0,,,,,
CA,Auburn,1,12,,,,,
CA,AZUSA,1,3,,,,,
CA,Bakersfield,1,14,,,,,
CA,Bangor,1,0,,,,,
CA,Bayside,1,2,,,,,
CA,Bellflower,1,1,,,,,
CA,Belmont,1,1,,,,,
CA,Benicia,1,2,,,,,
CA,Berkeley,1,17,,,,,
CA,Bermuda Dunes,1,1,,,,,
CA,Beverly Hills,1,1,,,,,
CA,Big Bear City,1,2,,,,,
CA,Bishop,1,2,,,,,
CA,Blairsden,1,1,,,,,
CA,Blue Lake,1,0,,,,,
CA,Bodega,1,2,,,,,
CA,Bonsall,1,1,,,,,
CA,Boulder Creek,1,1,,,,,
CA,Boyes Hot Springs,1,1,,,,,
CA,Brentwood,1,1,,,,,
CA,Brookdale,1,1,,,,,
CA,Brownsville,1,1,,,,,
CA,Buena Park,1,1,,,,,
CA,Burbank,1,3,,,,,
CA,Burney,1,1,,,,,
CA,Calabasas,1,1,,,,,
CA,California Hot Springs,1,0,,,,,
CA,Calimesa,1,1,,,,,
CA,Calistoga,1,3,,,,,
CA,Camarillo,1,7,,,,,
CA,Cambria,1,2,,,,,
CA,Cameron Park,1,2,,,,,
CA,Camino,1,1,,,,,
CA,Campbell,1,2,,,,,
CA,Canoga Park,1,3,,,,,
CA,Canyon Country,1,1,,,,,
CA,Capistrano Beach,1,1,,,,,
CA,Capitola,1,1,,,,,
CA,Cardiff By The Sea,1,1,,,,,
CA,Carlsbad,1,6,,,,,
CA,Carmel,1,4,,,,,
CA,Carmel Valley,1,1,,,,,
CA,Carmel-By-The-Sea,1,1,,,,,
CA,Carmichael,1,3,,,,,
CA,Carpinteria,1,2,,,,,
CA,Carson,1,1,,,,,
CA,Castaic,1,1,,,,,
CA,Castro Valley,1,5,,,,,
CA,Cathedral City,1,1,,,,,
CA,Cedar Ridge,1,1,,,,,
CA,Ceres,1,1,,,,,
CA,Chatsworth,1,1,,,,,
CA,Cherry Valley,1,1,,,,,
CA,Chico,1,11,,,,,
CA,Chino,1,7,,,,,
CA,Chino Hills,1,2,,,,,
CA,Chula Vista,1,5,,,,,
CA,Citrus Heights,1,5,,,,,
CA,Claremont,1,3,,,,,
CA,Clayton,1,4,,,,,
CA,Cloverdale,1,1,,,,,
CA,Clovis,1,3,,,,,
CA,Coachella,1,4,,,,,
CA,Coarsegold,1,2,,,,,
CA,Cohasset,1,1,,,,,
CA,Colfax,1,1,,,,,
CA,Columbia,1,1,,,,,
CA,Concord,1,13,,,,,
CA,Cool,1,1,,,,,
CA,Corning,1,1,,,,,
CA,Corona,1,8,,,,,
CA,Corona Del Mar,1,2,,,,,
CA,Coronado,1,0,,,,,
CA,Corte Madera,1,1,,,,,
CA,Costa Mesa,1,4,,,,,
CA,Cottonwood,1,1,,,,,
CA,Coulterville,1,0,,,,,
CA,Covina,1,1,,,,,
CA,Creston,1,1,,,,,
CA,Crows Landing,1,1,,,,,
CA,Culver City,1,3,,,,,
CA,Cupertino,1,4,,,,,
CA,Cypress,1,2,,,,,
CA,Daly City,1,1,,,,,
CA,Dana Point,1,4,,,,,
CA,Danville,1,1,,,,,
CA,Davis,1,5,,,,,
CA,Denair,1,1,,,,,
CA,Desert Hot Springs,1,1,,,,,
CA,Diamond Bar,1,1,,,,,
CA,Diamond Springs,1,1,,,,,
CA,Discovery Bay,1,1,,,,,
CA,Dixon,1,1,,,,,
CA,Downey,1,3,,,,,
CA,Duarte,1,3,,,,,
CA,DUBLIN,1,2,,,,,
CA,East Highland,1,1,,,,,
CA,East Palo Alto,1,1,,,,,
CA,El Cajon,1,7,,,,,
CA,El Cerrito,1,4,,,,,
CA,El Dorado Hills,1,1,,,,,
CA,El Granada,1,3,,,,,
CA,El Sobrante,1,2,,,,,
CA,Elk Grove,1,4,,,,,
CA,Elverta,1,0,,,,,
CA,Encinitas,1,2,,,,,
CA,Escalon,1,1,,,,,
CA,Escondido,1,11,,,,,
CA,Eureka,1,4,,,,,
CA,Exeter,1,2,,,,,
CA,Fair Oaks,1,1,,,,,
CA,Fairfax,1,1,,,,,
CA,Fairfield,1,1,,,,,
CA,Fallbrook,1,5,,,,,
CA,Felton,1,1,,,,,
CA,Fillmore,1,2,,,,,
CA,Folsom,1,6,,,,,
CA,Fontana,1,3,,,,,
CA,Forest Knolls,1,1,,,,,
CA,Foresthill,1,1,,,,,
CA,Forestville,1,1,,,,,
CA,Fort Bragg,1,2,,,,,
CA,Fortuna,1,1,,,,,
CA,Fountain Valley,1,1,,,,,
CA,Frazier Park,1,1,,,,,
CA,Fremont,1,3,,,,,
CA,Fresno,1,9,,,,,
CA,Garberville,1,0,,,,,
CA,Garden Grove,1,1,,,,,
CA,Garden Valley,1,1,,,,,
CA,Gardena,1,1,,,,,
CA,Gilroy,1,3,,,,,
CA,Glen Ellen,1,4,,,,,
CA,Glendale,1,6,,,,,
CA,Glendora,1,5,,,,,
CA,Gold River,1,1,,,,,
CA,Goleta,1,4,,,,,
CA,Granada Hills,1,1,,,,,
CA,Grand Terrace,1,0,,,,,
CA,Granite Bay,1,1,,,,,
CA,Grass Valley,1,8,,,,,
CA,Greenbrae,1,1,,,,,
CA,Greenville,1,1,,,,,
CA,Gridley,1,2,,,,,
CA,Groveland,1,1,,,,,
CA,Grover Beach,1,1,,,,,
CA,Guerneville,1,1,,,,,
CA,Hanford,1,3,,,,,
CA,Harbor City,1,1,,,,,
CA,Hawthorne,1,1,,,,,
CA,Hayfork,1,2,,,,,
CA,Hayward,1,11,,,,,
CA,Healdsburg,1,1,,,,,
CA,Hemet,1,2,,,,,
CA,Hercules,1,1,,,,,
CA,Hesperia,1,3,,,,,
CA,Hidden Valley Lake,1,1,,,,,
CA,Highland,1,0,,,,,
CA,Hollister,1,1,,,,,
CA,Holtville,1,1,,,,,
CA,Huntington Beach,1,7,,,,,
CA,Idyllwild,1,2,,,,,
CA,Indio,1,6,,,,,
CA,irvine,1,1,,,,,
CA,Irwindale,1,1,,,,,
CA,Isleton,1,1,,,,,
CA,Junction City,1,1,,,,,
CA,Kerman,1,1,,,,,
CA,Kings Beach,1,2,,,,,
CA,La Canada,1,3,,,,,
CA,La Canada Flintridge,1,2,,,,,
CA,La Crescenta,1,3,,,,,
CA,La Habra,1,4,,,,,
CA,La Honda,1,1,,,,,
CA,La Mesa,1,2,,,,,
CA,La Mirada,1,2,,,,,
CA,La Puente,1,1,,,,,
CA,La Quinta,1,6,,,,,
CA,La Verne,1,3,,,,,
CA,Lafayette,1,1,,,,,
CA,Laguna Beach,1,4,,,,,
CA,Laguna Hills,1,1,,,,,
CA,Laguna Niguel,1,1,,,,,
CA,Laguna Woods,1,1,,,,,
CA,Lake Arrowhead,1,1,,,,,
CA,Lake Balboa,1,1,,,,,
CA,Lake Elsinore,1,2,,,,,
CA,Lake Forest,1,4,,,,,
CA,Lake Isabella,1,1,,,,,
CA,Lakeside,1,1,,,,,
CA,Lakewood,1,1,,,,,
CA,Lancaster,1,7,,,,,
CA,Lawndale,1,2,,,,,
CA,Lemon Grove,1,0,,,,,
CA,Lincoln,1,1,,,,,
CA,Littlerock,1,1,,,,,
CA,Live Oak,1,1,,,,,
CA,Livermore,1,7,,,,,
CA,Lockeford,1,1,,,,,
CA,Lodi,1,2,,,,,
CA,Lomita,1,1,,,,,
CA,Lompoc,1,3,,,,,
CA,Long Beach,1,8,,,,,
CA,Loomis,1,3,,,,,
CA,Los Altos,1,0,,,,,
CA,Los Angeles,1,30,,,,,
CA,Los Banos,1,2,,,,,
CA,Los Gatos,1,12,,,,,
CA,Los Molinos,1,1,,,,,
CA,Los Osos,1,3,,,,,
CA,Lotus,1,2,,,,,
CA,Lower Lake,1,1,,,,,
CA,Lynwood,1,2,,,,,
CA,Mad River,1,0,,,,,
CA,Madera,1,2,,,,,
CA,Magalia,1,2,,,,,
CA,Mammoth Lakes,1,3,,,,,
CA,Manteca,1,1,,,,,
CA,Marina,1,2,,,,,
CA,Mariposa,1,2,,,,,
CA,Martinez,1,7,,,,,
CA,Marysville,1,1,,,,,
CA,Mckinleyville,1,0,,,,,
CA,Meadow Vista,1,1,,,,,
CA,Menifee,1,1,,,,,
CA,Menlo Park,1,2,,,,,
CA,Mentone,1,1,,,,,
CA,Merced,1,1,,,,,
CA,Millbrae,1,2,,,,,
CA,Milpitas,1,1,,,,,
CA,Mira Loma,1,1,,,,,
CA,Mission Hills,1,1,,,,,
CA,Mission Viejo,1,3,,,,,
CA,Modesto,1,13,,,,,
CA,Monrovia,1,3,,,,,
CA,Monterey,1,4,,,,,
CA,Moorpark,1,1,,,,,
CA,Moreno Valley,1,2,,,,,
CA,Morgan Hill,1,1,,,,,
CA,Morro Bay,1,3,,,,,
CA,Moss Beach,1,2,,,,,
CA,Mount Shasta,1,1,,,,,
CA,Mountain View,1,6,,,,,
CA,Murphys,1,2,,,,,
CA,Murrieta,1,3,,,,,
CA,Napa,1,5,,,,,
CA,Nevada City,1,5,,,,,
CA,Newark,1,1,,,,,
CA,Newbury Park,1,1,,,,,
CA,Newcastle,1,1,,,,,
CA,Newhall,1,1,,,,,
CA,Newport Beach,1,1,,,,,
CA,Nipomo,1,1,,,,,
CA,Norco,1,3,,,,,
CA,North Fork,1,1,,,,,
CA,North Hills,1,1,,,,,
CA,North Hollywood,1,2,,,,,
CA,Northridge,1,2,,,,,
CA,Norwalk,1,1,,,,,
CA,Novato,1,3,,,,,
CA,Oak Park,1,1,,,,,
CA,Oak View,1,2,,,,,
CA,Oakdale,1,1,,,,,
CA,Oakhurst,1,5,,,,,
CA,Oakland,1,20,,,,,
CA,Oakley,1,1,,,,,
CA,Occidental,1,1,,,,,
CA,Oceanside,1,4,,,,,
CA,Ojai,1,7,,,,,
CA,Olivehurst,1,1,,,,,
CA,Ontario,1,4,,,,,
CA,Onyx,1,0,,,,,
CA,Orange,1,15,,,,,
CA,Orangevale,1,1,,,,,
CA,Orinda,1,1,,,,,
CA,Orland,1,0,,,,,
CA,Oroville,1,7,,,,,
CA,Oxnard,1,1,,,,,
CA,Pacheco,1,1,,,,,
CA,Pacific Grove,1,4,,,,,
CA,Pacific Palisades,1,2,,,,,
CA,Pacifica,1,1,,,,,
CA,Palm Desert,1,2,,,,,
CA,Palm Springs,1,1,,,,,
CA,Palmdale,1,2,,,,,
CA,Palo Alto,1,4,,,,,
CA,Palo Cedro,1,1,,,,,
CA,Palos Verdes Peninsula,1,1,,,,,
CA,Panorama City,1,2,,,,,
CA,Paradise,1,4,,,,,
CA,Pasadena,1,15,,,,,
CA,Paso Robles,1,1,,,,,
CA,Patterson,1,1,,,,,
CA,Penn Valley,1,0,,,,,
CA,Penryn,1,1,,,,,
CA,Perris,1,0,,,,,
CA,Petaluma,1,6,,,,,
CA,Pine Valley,1,1,,,,,
CA,Pinole,1,1,,,,,
CA,Pioneer,1,1,,,,,
CA,Pittsburg,1,0,,,,,
CA,Placentia,1,3,,,,,
CA,Placerville,1,5,,,,,
CA,Playa Del Rey,1,1,,,,,
CA,Pleasant Hill,1,8,,,,,
CA,Pleasanton,1,5,,,,,
CA,Plumas Lake,1,2,,,,,
CA,Plymouth,1,0,,,,,
CA,Point Reyes Station,1,1,,,,,
CA,Pollock Pines,1,2,,,,,
CA,Pomona,1,3,,,,,
CA,Portola Hills,1,0,,,,,
CA,Portola Valley,1,3,,,,,
CA,Quincy,1,2,,,,,
CA,Rail Road Flat,1,1,,,,,
CA,Ramona,1,3,,,,,
CA,Rancho Cordova,1,4,,,,,
CA,Rancho Cucamonga,1,3,,,,,
CA,Rancho Palos Verdes,1,3,,,,,
CA,Rancho Santa Fe,1,1,,,,,
CA,Rancho Santa Margarita,1,6,,,,,
CA,Raymond,1,1,,,,,
CA,Redding,1,12,,,,,
CA,Redlands,1,4,,,,,
CA,Redondo Beach,1,2,,,,,
CA,Redway,1,0,,,,,
CA,Redwood City,1,7,,,,,
CA,Reseda,1,2,,,,,
CA,Rialto,1,2,,,,,
CA,Richmond,1,3,,,,,
CA,Rio Linda,1,1,,,,,
CA,Ripon,1,1,,,,,
CA,Riverside,1,16,,,,,
CA,Rocklin,1,7,,,,,
CA,Rohnert Park,1,0,,,,,
CA,Rosemead,1,1,,,,,
CA,Roseville,1,16,,,,,
CA,Rough And Ready,1,1,,,,,
CA,Running Springs,1,1,,,,,
CA,Sacramento,1,40,,,,,
CA,Saint Helena,1,2,,,,,
CA,Salida,1,1,,,,,
CA,Salinas,1,7,,,,,
CA,Salton City,1,1,,,,,
CA,San Anselmo,1,1,,,,,
CA,San Bernardino,1,1,,,,,
CA,San Bruno,1,0,,,,,
CA,San Carlos,1,3,,,,,
CA,San Clemente,1,4,,,,,
CA,San Diego,1,45,,,,,
CA,San Dimas,1,2,,,,,
CA,San Fernando,1,2,,,,,
CA,San Francisco,1,31,,,,,
CA,San Gabriel,1,3,,,,,
CA,San Geronimo,1,1,,,,,
CA,San Jose,1,30,,,,,
CA,San Juan Capistrano,1,2,,,,,
CA,San Leandro,1,1,,,,,
CA,San Lorenzo,1,1,,,,,
CA,San Luis Obispo,1,11,,,,,
CA,San Marcos,1,4,,,,,
CA,San Marino,1,1,,,,,
CA,San Mateo,1,4,,,,,
CA,San Pablo,1,1,,,,,
CA,San Pedro,1,4,,,,,
CA,San Rafael,1,15,,,,,
CA,San Ramon,1,1,,,,,
CA,Sanger,1,1,,,,,
CA,Santa Ana,1,13,,,,,
CA,Santa Barbara,1,18,,,,,
CA,Santa Clara,1,8,,,,,
CA,Santa Clarita,1,5,,,,,
CA,Santa Cruz,1,15,,,,,
CA,Santa Fe Springs,1,1,,,,,
CA,Santa Margarita,1,1,,,,,
CA,Santa Maria,1,2,,,,,
CA,Santa Monica,1,6,,,,,
CA,Santa Rosa,1,23,,,,,
CA,Santee,1,2,,,,,
CA,Saratoga,1,1,,,,,
CA,Sausalito,1,0,,,,,
CA,Scotts Valley,1,3,,,,,
CA,Seaside,1,1,,,,,
CA,Sebastopol,1,9,,,,,
CA,Shafter,1,1,,,,,
CA,Sherman Oaks,1,1,,,,,
CA,Shingle Springs,1,0,,,,,
CA,Sierra Madre,1,2,,,,,
CA,Simi Valley,1,6,,,,,
CA,Sonoma,1,4,,,,,
CA,Sonora,1,7,,,,,
CA,Soquel,1,2,,,,,
CA,Soulsbyville,1,1,,,,,
CA,South Gate,1,1,,,,,
CA,South Lake Tahoe,1,2,,,,,
CA,South Pasadena,1,1,,,,,
CA,South San Francisco,1,4,,,,,
CA,Spring Valley,1,4,,,,,
CA,Stanford,1,0,,,,,
CA,Stanton,1,4,,,,,
CA,Stockton,1,6,,,,,
CA,Sun Valley,1,1,,,,,
CA,Sunland,1,1,,,,,
CA,Sunnyvale,1,2,,,,,
CA,Sylmar,1,4,,,,,
CA,Tahoe City,1,3,,,,,
CA,Tahoe Vista,1,3,,,,,
CA,Tarzana,1,2,,,,,
CA,Temecula,1,10,,,,,
CA,Templeton,1,2,,,,,
CA,Terra Bella,1,1,,,,,
CA,Thousand Oaks,1,6,,,,,
CA,Thousand Palms,1,5,,,,,
CA,Torrance,1,4,,,,,
CA,Trabuco Canyon,1,0,,,,,
CA,Tracy,1,3,,,,,
CA,Trinidad,1,1,,,,,
CA,Truckee,1,4,,,,,
CA,Tujunga,1,0,,,,,
CA,Tulare,1,2,,,,,
CA,Tuolumne,1,1,,,,,
CA,Tustin,1,5,,,,,
CA,Ukiah,1,0,,,,,
CA,Union City,1,1,,,,,
CA,Upland,1,3,,,,,
CA,Upper Lake,1,1,,,,,
CA,Vacaville,1,7,,,,,
CA,Valencia,1,3,,,,,
CA,Vallejo,1,3,,,,,
CA,Valley Center,1,1,,,,,
CA,Valley Springs,1,2,,,,,
CA,Valley Village,1,1,,,,,
CA,Van Nuys,1,3,,,,,
CA,Ventura,1,12,,,,,
CA,Victorville,1,2,,,,,
CA,Visalia,1,4,,,,,
CA,Vista,1,9,,,,,
CA,Walnut Creek,1,7,,,,,
CA,Watsonville,1,0,,,,,
CA,Weaverville,1,2,,,,,
CA,West Covina,1,2,,,,,
CA,West Hills,1,2,,,,,
CA,West Point,1,1,,,,,
CA,West Sacramento,1,1,,,,,
CA,Westlake Village,1,2,,,,,
CA,Westminster,1,1,,,,,
CA,Whitethorn,1,1,,,,,
CA,Whittier,1,5,,,,,
CA,Wildomar,1,0,,,,,
CA,Willits,1,2,,,,,
CA,Willow Creek,1,1,,,,,
CA,Winchester,1,3,,,,,
CA,Windsor,1,2,,,,,
CA,Winnetka,1,1,,,,,
CA,Winters,1,2,,,,,
CA,Woodacre,1,1,,,,,
CA,Woodland,1,4,,,,,
CA,Woodland Hills,1,3,,,,,
CA,Woodside,1,1,,,,,
CA,Yorba Linda,1,5,,,,,
CA,Yuba City,1,8,,,,,
CA,Yucaipa,1,3,,,,,
CO,Allenspark,1,1,,,,,
CO,Arvada,1,10,,,,,
CO,Aspen,1,1,,,,,
CO,Ault,1,1,,,,,
CO,Aurora,1,6,,,,,
CO,Avon,1,1,,,,,
CO,Bailey,1,2,,,,,
CO,Basalt,1,1,,,,,
CO,Bayfield,1,2,,,,,
CO,Bellvue,1,0,,,,,
CO,Berthoud,1,4,,,,,
CO,Beulah,1,1,,,,,
CO,Black Hawk,1,2,,,,,
CO,Boulder,1,26,,,,,
CO,Breckenridge,1,4,,,,,
CO,Brighton,1,1,,,,,
CO,Broomfield,1,8,,,,,
CO,Buena Vista,1,0,,,,,
CO,Carbondale,1,6,,,,,
CO,Castle Rock,1,6,,,,,
CO,Centennial,1,7,,,,,
CO,Co Spgs,1,1,,,,,
CO,Colorado Springs,1,28,,,,,
CO,Conifer,1,3,,,,,
CO,Cortez,1,1,,,,,
CO,Crested Butte,1,1,,,,,
CO,Dacono,1,1,,,,,
CO,Del Norte,1,1,,,,,
CO,Denver,1,39,,,,,
CO,Dillon,1,1,,,,,
CO,Durango,1,3,,,,,
CO,Eagle,1,6,,,,,
CO,Edgewater,1,1,,,,,
CO,Edwards,1,1,,,,,
CO,Englewood,1,11,,,,,
CO,Erie,1,3,,,,,
CO,Estes Park,1,1,,,,,
CO,Evergreen,1,7,,,,,
CO,Federal Heights,1,0,,,,,
CO,Florissant,1,2,,,,,
CO,Fort Collins,1,30,,,,,
CO,Fort Morgan,1,1,,,,,
CO,Fountain,1,1,,,,,
CO,Frederick,1,1,,,,,
CO,Fruita,1,1,,,,,
CO,Glen Haven,1,1,,,,,
CO,Glenwood Springs,1,1,,,,,
CO,Golden,1,4,,,,,
CO,Granby,1,1,,,,,
CO,Grand Junction,1,9,,,,,
CO,Greeley,1,4,,,,,
CO,Greenwood Village,1,1,,,,,
CO,Gunnison,1,1,,,,,
CO,Gypsum,1,1,,,,,
CO,Hesperus,1,1,,,,,
CO,Highlands Ranch,1,2,,,,,
CO,Hot Sulphur Springs,1,1,,,,,
CO,Idaho Springs,1,1,,,,,
CO,Kittredge,1,2,,,,,
CO,Lafayette,1,6,,,,,
CO,Lakewood,1,15,,,,,
CO,Larkspur,1,0,,,,,
CO,Leadville,1,3,,,,,
CO,Littleton,1,10,,,,,
CO,Lone Tree,1,1,,,,,
CO,Longmont,1,17,,,,,
CO,Louisville,1,5,,,,,
CO,Loveland,1,8,,,,,
CO,Lyons,1,1,,,,,
CO,Milliken,1,1,,,,,
CO,Monte Vista,1,1,,,,,
CO,Montrose,1,1,,,,,
CO,Monument,1,1,,,,,
CO,Morrison,1,3,,,,,
CO,New Castle,1,1,,,,,
CO,Pagosa Springs,1,2,,,,,
CO,Palisade,1,1,,,,,
CO,Parker,1,5,,,,,
CO,Penrose,1,2,,,,,
CO,Peyton,1,1,,,,,
CO,Pueblo,1,5,,,,,
CO,Ridgway,1,2,,,,,
CO,Rifle,1,2,,,,,
CO,Rollinsville,1,1,,,,,
CO,Salida,1,2,,,,,
CO,Sedalia,1,1,,,,,
CO,Severance,1,2,,,,,
CO,Silverthorne,1,2,,,,,
CO,Snowmass,1,0,,,,,
CO,Steamboat Springs,1,4,,,,,
CO,Sterling,1,3,,,,,
CO,Telluride,1,3,,,,,
CO,Thornton,1,3,,,,,
CO,Vail,1,1,,,,,
CO,Walden,1,1,,,,,
CO,Wellington,1,1,,,,,
CO,Westminster,1,6,,,,,
CO,Wheat Ridge,1,4,,,,,
CO,Windsor,1,2,,,,,
CO,Woodland Park,1,1,,,,,
CT,Abington,1,1,,,,,
CT,Avon,1,1,,,,,
CT,Berlin,1,1,,,,,
CT,Branford,1,1,,,,,
CT,Canton,1,2,,,,,
CT,Clinton,1,2,,,,,
CT,Danbury,1,1,,,,,
CT,East Hartland,1,1,,,,,
CT,Eastford,1,0,,,,,
CT,Ellington,1,1,,,,,
CT,Enfield,1,1,,,,,
CT,Fairfield,1,2,,,,,
CT,Georgetown,1,1,,,,,
CT,Granby,1,1,,,,,
CT,Greenwich,1,3,,,,,
CT,Groton,1,1,,,,,
CT,Hamden,1,4,,,,,
CT,Higganum,1,0,,,,,
CT,Kent,1,0,,,,,
CT,Lebanon,1,1,,,,,
CT,Milford,1,1,,,,,
CT,Monroe,1,1,,,,,
CT,Moodus,1,1,,,,,
CT,Mystic,1,1,,,,,
